Experiment,Model,Params,Accuracy,Macro Precision,Macro Recall,Macro F1,Minority Recall,Worst-class Recall
mobilenetv2_winner,mobilenetv2,2272550,0.9865586448167925,0.9805886443366459,0.9855189093773989,0.9829215240435425,0.9909430438842204,0.9361702127659575
efficientnet_b0_winner,efficientnet_b0,4056226,0.9841649788252624,0.9782113100453514,0.981341025493416,0.9795558208669217,0.9791409897292251,0.8979591836734694
